word_id,image_path,segmentation_result,transcription,word_length
a01-000x-00-02,data/IAM/words/a01/a01-000x/a01-000x-00-02.png,ok,to,2
a01-000x-00-03,data/IAM/words/a01/a01-000x/a01-000x-00-03.png,ok,stop,4
a01-000x-00-04,data/IAM/words/a01/a01-000x/a01-000x-00-04.png,ok,Mr.,3
a01-000x-00-05,data/IAM/words/a01/a01-000x/a01-000x-00-05.png,ok,Gaitskell,9
a01-000x-00-06,data/IAM/words/a01/a01-000x/a01-000x-00-06.png,ok,from,4
a01-000x-00-07,data/IAM/words/a01/a01-000x/a01-000x-00-07.png,ok,nominating,10
a01-000x-01-00,data/IAM/words/a01/a01-000x/a01-000x-01-00.png,ok,any,3
a01-000x-01-01,data/IAM/words/a01/a01-000x/a01-000x-01-01.png,ok,more,4
a01-000x-01-02,data/IAM/words/a01/a01-000x/a01-000x-01-02.png,ok,Labour,6
a01-000x-01-03,data/IAM/words/a01/a01-000x/a01-000x-01-03.png,ok,life,4
a01-000x-01-04,data/IAM/words/a01/a01-000x/a01-000x-01-04.png,ok,Peers,5
a01-000x-01-05,data/IAM/words/a01/a01-000x/a01-000x-01-05.png,ok,is,2
a01-000x-01-06,data/IAM/words/a01/a01-000x/a01-000x-01-06.png,ok,to,2
a01-000x-01-07,data/IAM/words/a01/a01-000x/a01-000x-01-07.png,ok,be,2
a01-000x-01-08,data/IAM/words/a01/a01-000x/a01-000x-01-08.png,ok,made,4
a01-000x-01-09,data/IAM/words/a01/a01-000x/a01-000x-01-09.png,ok,at,2
a01-000x-01-10,data/IAM/words/a01/a01-000x/a01-000x-01-10.png,ok,a,1
a01-000x-02-00,data/IAM/words/a01/a01-000x/a01-000x-02-00.png,ok,meeting,7
a01-000x-02-01,data/IAM/words/a01/a01-000x/a01-000x-02-01.png,ok,of,2
a01-000x-02-02,data/IAM/words/a01/a01-000x/a01-000x-02-02.png,ok,Labour,6
a01-000x-02-03,data/IAM/words/a01/a01-000x/a01-000x-02-03.png,ok,0M Ps,5
a01-000x-02-04,data/IAM/words/a01/a01-000x/a01-000x-02-04.png,ok,tomorrow,8
a01-000x-02-05,data/IAM/words/a01/a01-000x/a01-000x-02-05.png,ok,.,1
a01-000x-02-06,data/IAM/words/a01/a01-000x/a01-000x-02-06.png,ok,Mr.,3
a01-000x-02-07,data/IAM/words/a01/a01-000x/a01-000x-02-07.png,ok,Michael,7
a01-000x-03-00,data/IAM/words/a01/a01-000x/a01-000x-03-00.png,ok,Foot,4
a01-000x-03-01,data/IAM/words/a01/a01-000x/a01-000x-03-01.png,ok,has,3
a01-000x-03-02,data/IAM/words/a01/a01-000x/a01-000x-03-02.png,ok,put,3
a01-000x-03-03,data/IAM/words/a01/a01-000x/a01-000x-03-03.png,ok,down,4
a01-000x-03-04,data/IAM/words/a01/a01-000x/a01-000x-03-04.png,ok,a,1
a01-000x-03-05,data/IAM/words/a01/a01-000x/a01-000x-03-05.png,ok,resolution,10
a01-000x-03-06,data/IAM/words/a01/a01-000x/a01-000x-03-06.png,ok,on,2
a01-000x-03-07,data/IAM/words/a01/a01-000x/a01-000x-03-07.png,ok,the,3
a01-000x-03-08,data/IAM/words/a01/a01-000x/a01-000x-03-08.png,ok,subject,7
a01-000x-04-00,data/IAM/words/a01/a01-000x/a01-000x-04-00.png,ok,and,3
a01-000x-04-01,data/IAM/words/a01/a01-000x/a01-000x-04-01.png,ok,he,2
a01-000x-04-02,data/IAM/words/a01/a01-000x/a01-000x-04-02.png,ok,is,2
a01-000x-04-03,data/IAM/words/a01/a01-000x/a01-000x-04-03.png,ok,to,2
a01-000x-04-04,data/IAM/words/a01/a01-000x/a01-000x-04-04.png,ok,be,2
a01-000x-04-05,data/IAM/words/a01/a01-000x/a01-000x-04-05.png,ok,backed,6
a01-000x-04-06,data/IAM/words/a01/a01-000x/a01-000x-04-06.png,ok,by,2
a01-000x-04-07,data/IAM/words/a01/a01-000x/a01-000x-04-07.png,ok,Mr.,3
a01-000x-04-08,data/IAM/words/a01/a01-000x/a01-000x-04-08.png,ok,Will,4
a01-000x-04-09,data/IAM/words/a01/a01-000x/a01-000x-04-09.png,ok,Griffiths,9
a01-000x-04-10,data/IAM/words/a01/a01-000x/a01-000x-04-10.png,ok,",",1
a01-000x-05-00,data/IAM/words/a01/a01-000x/a01-000x-05-00.png,ok,0M P,4
